Nodes_Router_1;2;0.00%;0.01%;852KiB / 7.646GiB;233kB / 220kB;0B / 0B;77;31
Gateways_Router_1;2;0.00%;0.01%;844KiB / 7.646GiB;17.3kB / 0B;0B / 0B;77;31
Gateway_1;34;21.21%;2.43%;190.1MiB / 7.646GiB;3.27kB / 826B;0B / 12.3kB;84;31
Rpc;8;0.01%;0.09%;7.004MiB / 7.646GiB;41.4kB / 29.9kB;4.1kB / 57.3kB;84;31
Node_3;18;0.82%;0.19%;14.7MiB / 7.646GiB;156kB / 117kB;16.4kB / 209kB;84;31
Node_2;18;0.79%;0.19%;14.86MiB / 7.646GiB;197kB / 165kB;90.1kB / 209kB;84;31
Node_1;17;0.80%;0.19%;14.97MiB / 7.646GiB;219kB / 192kB;65.5kB / 209kB;84;31
Devnet_Goshimmer;18;209.13%;0.90%;70.26MiB / 7.646GiB;67.4kB / 148kB;0B / 77.8kB;84;31
Nodes_Router_1;2;0.00%;0.01%;852KiB / 7.646GiB;244kB / 231kB;0B / 0B;84;31
Gateways_Router_1;2;0.00%;0.01%;844KiB / 7.646GiB;17.3kB / 0B;0B / 0B;84;31
Gateway_1;34;29.49%;2.43%;190.1MiB / 7.646GiB;3.27kB / 826B;0B / 12.3kB;91;31
Rpc;8;0.01%;0.09%;7MiB / 7.646GiB;41.5kB / 30kB;4.1kB / 57.3kB;91;31
Node_3;18;0.80%;0.19%;14.88MiB / 7.646GiB;160kB / 119kB;16.4kB / 209kB;91;31
Node_2;18;0.75%;0.19%;14.95MiB / 7.646GiB;202kB / 167kB;90.1kB / 209kB;91;31
Node_1;17;0.80%;0.19%;15.06MiB / 7.646GiB;224kB / 195kB;65.5kB / 209kB;91;31
Devnet_Goshimmer;18;206.88%;0.90%;70.58MiB / 7.646GiB;70.4kB / 156kB;0B / 77.8kB;91;31
Nodes_Router_1;2;0.00%;0.01%;852KiB / 7.646GiB;256kB / 242kB;0B / 0B;91;31
Gateways_Router_1;2;0.00%;0.01%;844KiB / 7.646GiB;17.3kB / 0B;0B / 0B;91;31
Gateway_1;34;27.18%;2.43%;190.2MiB / 7.646GiB;3.27kB / 826B;0B / 12.3kB;98;31
Rpc;8;0.02%;0.09%;7MiB / 7.646GiB;41.5kB / 30kB;4.1kB / 57.3kB;98;31
Node_3;18;0.81%;0.19%;14.57MiB / 7.646GiB;162kB / 120kB;16.4kB / 209kB;98;31
Node_2;18;0.83%;0.19%;15.03MiB / 7.646GiB;205kB / 168kB;90.1kB / 209kB;98;31
Node_1;17;0.89%;0.19%;15MiB / 7.646GiB;227kB / 196kB;65.5kB / 209kB;98;31
Devnet_Goshimmer;18;210.35%;0.90%;70.23MiB / 7.646GiB;73.5kB / 164kB;0B / 77.8kB;98;31
Nodes_Router_1;2;0.00%;0.01%;852KiB / 7.646GiB;267kB / 254kB;0B / 0B;98;31
Gateways_Router_1;2;0.00%;0.01%;844KiB / 7.646GiB;17.3kB / 0B;0B / 0B;98;31
Gateway_1;34;28.53%;2.84%;222.2MiB / 7.646GiB;8.06kB / 47.5kB;1.07MB / 12.3kB;105;31
