Client_1;18;1,45;=0,18;=14,21*1024;=7,646*1024*1024;=112;=75,2;=205;=336;=145;6
Clients_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=129;=104;=0;=0;=145;6
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=94,2;=64,5;=0;=0;=145;6
Gateway_1;29;45,98;=2,28;=178,9*1024;=7,646*1024*1024;=32,5;=46;=0;=16,4;=153;6
Rpc;12;0,07;=0,12;=9,5*1024;=7,646*1024*1024;=137;=98,7;=242;=28,7;=153;6
Client_1;18;1,32;=0,19;=14,63*1024;=7,646*1024*1024;=120;=81,7;=205;=434;=153;6
Clients_Router_1;2;0,01;=0,01;=820;=7,646*1024*1024;=140;=115;=0;=0;=153;6
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=101;=70,9;=0;=0;=153;6
Gateway_1;29;43,70;=2,29;=179*1024;=7,646*1024*1024;=35,3;=49,7;=0;=16,4;=161;6
Rpc;12;0,02;=0,12;=9,598*1024;=7,646*1024*1024;=145;=107;=242;=28,7;=161;6
Client_1;18;1,53;=0,19;=14,88*1024;=7,646*1024*1024;=127;=88;=205;=446;=161;6
Clients_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=150;=125;=0;=0;=161;6
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=107;=77,3;=0;=0;=161;6
Gateway_1;29;43,70;=2,29;=179,1*1024;=7,646*1024*1024;=38;=53,3;=0;=16,4;=169;5
Rpc;12;0,05;=0,12;=9,727*1024;=7,646*1024*1024;=154;=115;=242;=28,7;=169;5
Client_1;18;1,52;=0,19;=14,75*1024;=7,646*1024*1024;=134;=94,3;=205;=459;=169;5
Clients_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=160;=135;=0;=0;=169;5
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=113;=83,7;=0;=0;=169;5
Gateway_1;29;44,15;=2,29;=179,2*1024;=7,646*1024*1024;=43,2;=58,8;=0;=16,4;=177;5
Rpc;12;0,02;=0,13;=9,934*1024;=7,646*1024*1024;=167;=127;=242;=28,7;=177;5
Client_1;18;1,71;=0,19;=14,86*1024;=7,646*1024*1024;=144;=104;=205;=590;=177;5
Clients_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=175;=150;=0;=0;=177;5
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=124;=94,4;=0;=0;=177;5
Gateway_1;29;42,75;=2,29;=179,5*1024;=7,646*1024*1024;=46,4;=64,1;=0;=16,4;=184;5
Rpc;12;0,01;=0,13;=10,23*1024;=7,646*1024*1024;=179;=139;=242;=28,7;=184;5
Client_1;18;6,35;=0,19;=14,67*1024;=7,646*1024*1024;=154;=113;=205;=602;=184;5
Clients_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=190;=165;=0;=0;=184;5
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=133;=103;=0;=0;=184;5
Gateway_1;29;49,58;=2,29;=179,5*1024;=7,646*1024*1024;=49,2;=67,5;=0;=16,4;=192;5
Rpc;12;2,52;=0,13;=10,04*1024;=7,646*1024*1024;=184;=144;=242;=28,7;=192;5
Client_1;18;7,15;=0,19;=14,91*1024;=7,646*1024*1024;=161;=119;=205;=614;=192;5
Clients_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=200;=175;=0;=0;=192;5
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=139;=109;=0;=0;=192;5
Gateway_1;29;43,00;=2,29;=179,6*1024;=7,646*1024*1024;=51,9;=71,2;=0;=16,4;=200;5
Rpc;12;0,01;=0,13;=10,34*1024;=7,646*1024*1024;=196;=155;=242;=28,7;=200;5
Client_1;18;1,39;=0,19;=14,73*1024;=7,646*1024*1024;=168;=125;=205;=627;=200;5
Clients_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=211;=186;=0;=0;=200;5
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=145;=116;=0;=0;=200;5
Gateway_1;29;44,42;=2,29;=179,7*1024;=7,646*1024*1024;=54,7;=74,8;=0;=16,4;=208;6
Rpc;12;0,02;=0,13;=10,46*1024;=7,646*1024*1024;=204;=164;=242;=28,7;=208;6
Client_1;18;1,52;=0,19;=14,88*1024;=7,646*1024*1024;=175;=131;=205;=770;=208;6
Clients_Router_1;2;0,01;=0,01;=820;=7,646*1024*1024;=221;=196;=0;=0;=208;6
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=152;=122;=0;=0;=208;6
Gateway_1;29;43,12;=2,29;=179,7*1024;=7,646*1024*1024;=57,5;=78,4;=0;=16,4;=215;6
Rpc;12;0,02;=0,14;=10,59*1024;=7,646*1024*1024;=213;=172;=242;=28,7;=215;6
Client_1;18;1,36;=0,20;=15,63*1024;=7,646*1024*1024;=182;=138;=205;=782;=215;6
Clients_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=231;=206;=0;=0;=215;6
Gateways_Router_1;2;0,01;=0,01;=828;=7,646*1024*1024;=158;=128;=0;=0;=215;6
Gateway_1;29;44,96;=2,30;=179,8*1024;=7,646*1024*1024;=60,3;=82,1;=0;=16,4;=223;5
Rpc;12;0,04;=0,14;=10,71*1024;=7,646*1024*1024;=221;=180;=242;=28,7;=223;5
